"sF","treid","slice","X","Y","Z"
"V400","s02.asc",1,0.939640000000001,0.517600000000002,0.950600000000001
"V400","s02.asc",1,0.754050000000003,0.330390000000001,1.036
"V400","s02.asc",1,0.73976,0.69744,0.9533
"V400","s02.asc",1.1,0.55546,0.523890000000002,1.0824
"V400","s02.asc",1.1,0.933510000000002,0.502300000000002,1.0554
"V400","s02.asc",1.1,0.736420000000003,0.32179,1.1381
"V400","s02.asc",1.1,0.736990000000002,0.688459999999999,1.0534
"V400","s02.asc",1.2,0.555520000000001,0.518260000000001,1.1963
"V400","s02.asc",1.2,0.929670000000002,0.49757,1.1543
"V400","s02.asc",1.2,0.738090000000003,0.314859999999999,1.241
"V400","s02.asc",1.2,0.746820000000003,0.680250000000001,1.1538
"V400","s02.asc",1.3,0.553320000000003,0.455770000000001,1.2999
"V400","s02.asc",1.3,0.926400000000001,0.496320000000001,1.2533
"V400","s02.asc",1.3,0.747900000000001,0.306250000000002,1.3439
"V400","s02.asc",1.3,0.735700000000001,0.671150000000001,1.2514
"V400","s02.asc",1.4,0.553150000000002,0.475989999999999,1.4153
"V400","s02.asc",1.4,0.92445,0.481070000000003,1.3705
"V400","s02.asc",1.4,0.73104,0.296700000000001,1.4458
"V400","s02.asc",1.4,0.719790000000003,0.661640000000002,1.352
"V400","s02.asc",1.5,0.551860000000001,0.463049999999999,1.5428
"V400","s02.asc",1.5,0.919640000000001,0.4788,1.452
"V400","s02.asc",1.5,0.741820000000001,0.285620000000002,1.5439
"V400","s02.asc",1.5,0.740500000000001,0.65221,1.4523
"V400","s02.asc",1.6,0.550530000000002,0.462389999999999,1.6449
"V400","s02.asc",1.6,0.916520000000002,0.46274,1.5525
"V400","s02.asc",1.6,0.733410000000003,0.274710000000002,1.645
"V400","s02.asc",1.6,0.723490000000002,0.641770000000001,1.5544
"V400","s02.asc",1.7,0.547150000000002,0.458570000000002,1.7469
"V400","s02.asc",1.7,0.91525,0.463000000000001,1.6507
"V400","s02.asc",1.7,0.725270000000002,0.264030000000002,1.7397
"V400","s02.asc",1.7,0.722440000000002,0.628240000000002,1.6568
"V400","s02.asc",1.8,0.54645,0.458670000000001,1.8491
"V400","s02.asc",1.8,0.9099,0.43582,1.7539
"V400","s02.asc",1.8,0.715910000000001,0.251620000000003,1.8405
"V400","s02.asc",1.8,0.719890000000003,0.616379999999999,1.7508
"V400","s02.asc",1.9,0.545250000000003,0.409929999999999,1.9489
"V400","s02.asc",1.9,0.906180000000003,0.44322,1.856
"V400","s02.asc",1.9,0.73836,0.239190000000001,1.9425
"V400","s02.asc",1.9,0.719840000000001,0.603400000000001,1.8621
"V400","s02.asc",2,0.54364,0.412670000000002,2.0433
